강릉 주문진점,033-662-8292,강원 강릉시 주문진읍 연주로 372,37.88525782,128.8247583
,,,,
진주 가호점,055-752-4535,경남 진주시 호탄동 982-2,,
,,,,
경남 창녕점,070-5022-2228,경남 창녕군 창녕읍 술정리3-8,,
,,,,
경북 영주점,054-631-9222,경북 영주시 가흥동 1712,,
,,,,
세종 아름점,044-864-5680,"세종특별자치시 보듬3로 104-15, 엘스빌딩 103호",36.5122503,127.2492284
,,,,
안동 옥동점,054-856-4747,경북 안동시 옥동 638-1,,
,,,,
서산 서령점,041-665-7970,충남 서산시 서령로323 1층,36.80477515,126.4761669
,,,,
안양 박달점,010-5577-3655,경기도 안양시 박달로498번길38 우성상가108호,,
,,,,
전남 광양점,061-761-3114,"전라남도 광양시 광양읍 서천1길 54, 2층(칠성리)",,
,,,,
경주 동천점,054-773-7173,경북 경주시 동천동822-7번지 1층,,
,,,,
문경 시청점,054-555-2258,경북 문경시 모전동879-3번지 1층,,
,,,,
경산 신대부적점,053-812-9288,경북 경산시 압량면 신대리403번지 1층,,
,,,,
대구 고성점,053-562-0202,대구시 북구 고성동3가 5-139 상가301동 107호,,
,,,,
강릉 포남점,033-643-4507,강원 강릉시 포남동 1005-39,,
,,,,
서울 목동점,1600-8624,서울 양천구 목동 790-23,,
,,,,
구미 상모사곡점,054-462-9292,경북 구미시 상사동로 105 1층,36.09401382,128.3589955
,,,,
전북 고창점,063-562-8277,전북 고창군 고창읍 월곡리 586,,
,,,,
거제 장평점,055-636-1211,경남 거제시 장평2로4길 11,34.88466326,128.6094893
,,,,
부산 사직점,051-505-6667,부산 동래구 사직동 1039,,
,,,,
고창 동호점,063-564-7767,전북 고창군 해리면 동호리615-14,,
,,,,
포항 초곡점,054-615-0550,경상북도 포항시 북구 흥해읍 초곡지구로58번길 34-10,36.09736681,129.3363386
,,,,
전남 완도점,061-552-5200,전남 완도읍 청해진서로 5-2,34.31503906,126.7421279
,,,,
대구 송현점,053-641-2267,대구광역시 달서구 송현로 54-1,35.8232381,128.5464953
,,,,
경주 용황점,054-745-8535,"경북 경주시 용황로7길8, 302동 309호",,
,,,,
문경 가은점,054-572-7707,경북 문경시 가은읍 대야로 2486,36.64575276,128.0620087
,,,,
김포 풍무점,031-985-9929,경기 김포시 풍무로 59,37.60103278,126.7209184
,,,,
부산 정관점,051-727-7732,"부산 기장군 정관읍 정관8로 16-5 화승스파102호 (매학리, 정관온천)",35.32256394,129.1778777
,,,,
경북 예천점,054-654-1225,경북 예천군 예천읍 중앙로 83-2,36.65166481,128.4559716
,,,,
경남 통도사점,055-367-7767,경남 양산시 하북면 신평7길 14,35.49430475,129.0859144
,,,,
부산 대신점,051-939-0909,부산광역시 서구 구덕로286번길 3,35.10967427,129.0184996
,,,,
포항 용흥 양학점,054-255-5100,경북 포항시 북구 용흥동 614-5,,
,,,,
부산 서면점,051-808-9991,부산시 부산진구 부전동 517-70,,
,,,,
북삼 오태점,054-800-8484,경북 칠곡군 북삼읍 안산4길 7,36.065912,128.3351282
,,,,
대구 율하점,053-292-9494,대구 동구 율하동 892-12,,
,,,,
대구 구지점,053-281-1849,대구광역시 달성군 유가읍 테크노순환로 423,35.69994059,128.4674516
,,,,
여수 1호점,061-684-5009,전남 여수시 학동 92-7,,
,,,,
목포 북항점,061-242-2828,전라남도 목포시 산정동 1807(죽교천로132번길 8) 1층,,
,,,,
대구 죽전점,053-562-8292,대구시 달서구 감삼동 461,,
,,,,
창원 남산점,055-283-9476,경남 창원시 성산구 정동로162번길 74,35.20082841,128.6979222
,,,,
충남 보령점,041-931-7123,충남 보령시 동대동 1762,,
,,,,
경남 남해점,055-862-8889,경남 남해군 남해읍 북변리 277-1,,
,,,,
의정부 민락점,031-851-8992,경기 의정부시 민락동 804 121호,,
,,,,
광주 남구청점,062-652-2492,광주시 남구 주월동 1279-4,,
,,,,
대전 우송대점,042-624-7792,대전 동구 자양동 140-4,,
,,,,
전주 효자점,063-226-9222,전북 전주시 완산구 효자동3가 1538-3 101호,,
,,,,
달성 현풍테크노점,053-614-1818,대구 달성군 유가면 봉리 618-1 애플타워 1층 107호,,
,,,,
달성 화원점,053-634-3777,대구 달성군 화원읍 천내리 23-5,,
,,,,
대구 서재점,053-581-7177,대구 달성군 서재로30길 5-10 (서재리) 1층,35.87668067,128.4975154
,,,,
울산 달동점,052-268-1412,울산 남구 삼산로228번길 23,35.5362242,129.3328219
,,,,
울산 구영점,052-242-1500,울산광역시 울주군 범서읍 구영리 849-1,,
,,,,
울산 성남점,052-243-1976,울산광역시 중구 중앙길 107 1층,35.55572166,129.319364
,,,,
창원 봉곡점,055-237-8292,경남 창원시 의창구 봉곡동 34-8번지,,
,,,,
포항 문덕점,054-292-8555,경북 포항시 남구 오천읍 원리 895-6,,
